Date;Date;SP-Open;SP-High;SP-Low;SP-Close;SP-Volume;SP-Adj Close;EN-Open;EN-High;EN-Low;EN-Close;EN-Volume;EN-Adj Close;BR-Open;BR-High;BR-Low;BR-Close;BR-Volume;BR-Adj Close;HK-Open;HK-High;HK-Low;HK-Close;HK-Volume;HK-Adj Close;SP-Return;EN-Return;BR-Return;HK-Return
1997-05-09;1997-05-09;820.26001;827.690002;815.780029;824.780029;455690000.0;824.780029;;;;;;;105960.0;105960.0;104370.0;104920.0;0.0;10492.0;13879.400391;14047.200195;13866.900391;13930.799805;0.0;13930.799805;0.00551047100297;;0.00526971351921;0.0138643263032
1997-05-12;1997-05-12;824.780029;838.559998;824.780029;837.659973;459370000.0;837.659973;;;;;;;106990.0;106990.0;104920.0;106810.0;0.0;10681.0;14062.400391;14130.099609;13952.299805;13987.799805;0.0;13987.799805;0.015616217109;;0.0180137247427;0.0040916530851
1997-05-13;1997-05-13;837.659973;838.48999;829.119995;833.130005;489760000.0;833.130005;;;;;;;107250.0;107250.0;105770.0;106480.0;0.0;10648.0;14007.799805;14019.0;13875.900391;13906.5;0.0;13906.5;-0.00540788404127;;-0.00308959835221;-0.00581219392137
1997-05-14;1997-05-14;833.130005;841.289978;833.130005;836.039978;504960000.0;836.039978;;;;;;;106500.0;106500.0;101880.0;102830.0;0.0;10283.0;13912.0;14153.599609;13830.200195;14153.599609;0.0;14153.599609;0.00349281982708;;-0.0342787377911;0.0177686412109
1997-05-15;1997-05-15;836.039978;842.450012;833.340027;841.880005;458170000.0;841.880005;;;;;;;105600.0;105600.0;102560.0;103540.0;0.0;10354.0;14111.599609;14167.0;13936.5;14041.900391;0.0;14041.900391;0.0069853441865;;0.00690459982495;-0.00789193004506
1997-05-16;1997-05-16;841.880005;841.880005;829.150024;829.75;486780000.0;829.75;;;;;;;103540.0;105110.0;103540.0;104990.0;0.0;10499.0;14021.0;14133.700195;13932.5;14062.400391;0.0;14062.400391;-0.0144082350548;;0.0140042495654;0.00145991635243
1997-05-19;1997-05-19;829.75;835.919983;828.869995;833.27002;345140000.0;833.27002;;;;;;;105560.0;105560.0;104710.0;105060.0;0.0;10506.0;13966.5;14145.0;13946.900391;14108.799805;0.0;14108.799805;0.00424226574269;;0.000666730164778;0.00329953725608
1997-05-20;1997-05-20;833.27002;841.960022;826.409973;841.659973;450850000.0;841.659973;;;;;;;106410.0;106410.0;103740.0;106410.0;0.0;10641.0;14093.0;14254.0;14072.799805;14236.200195;0.0;14236.200195;0.0100687085802;;0.0128498001142;0.00902985312435
1997-05-21;1997-05-21;841.659973;846.869995;835.219971;839.349976;540730000.0;839.349976;;;;;;;108360.0;108360.0;106410.0;107150.0;0.0;10715.0;14323.200195;14398.599609;14207.900391;14235.5;0.0;14235.5;-0.00274457271832;;0.00695423362466;-4.91841214937e-05
1997-05-22;1997-05-22;839.349976;841.909973;833.859985;835.659973;426940000.0;835.659973;;;;;;;108630.0;108630.0;106860.0;107450.0;0.0;10745.0;14198.5;14324.0;14173.5;14212.0;0.0;14212.0;-0.00439626270985;;0.00279981334578;-0.00165080257104
1997-05-23;1997-05-23;835.659973;848.48999;835.659973;847.030029;417030000.0;847.030029;;;;;;;108080.0;108080.0;107170.0;107640.0;0.0;10764.0;14183.900391;14331.700195;14157.299805;14331.700195;0.0;14331.700195;0.013606079467;;0.00176826430898;0.00842247361385
1997-05-26;1997-05-26;;;;;;;;;;;;;109610.0;109610.0;107540.0;109610.0;0.0;10961.0;14356.599609;14581.400391;14356.599609;14574.599609;0.0;14574.599609;;;0.0183017465626;0.0169484018431
1997-05-27;1997-05-27;847.030029;851.530029;840.960022;849.710022;436150000.0;849.710022;;;;;;;111340.0;111340.0;109230.0;111330.0;0.0;11133.0;14588.700195;14618.400391;14505.900391;14540.200195;0.0;14540.200195;0.00316398818016;;0.0156919989052;-0.00236023046415
1997-05-28;1997-05-28;849.710022;850.950012;843.210022;847.210022;487340000.0;847.210022;;;;;;;111330.0;113300.0;110720.0;113010.0;0.0;11301.0;14555.799805;14688.5;14534.400391;14556.5;0.0;14556.5;-0.00294218019709;;0.0150902721638;0.00112101654595
1997-05-29;1997-05-29;847.210022;848.960022;842.609985;844.080017;462600000.0;844.080017;;;;;;;;;;;;;14528.900391;14528.900391;14299.0;14416.599609;0.0;14416.599609;-0.00369448533271;;;-0.00961085363927
1997-05-30;1997-05-30;844.080017;851.869995;831.869995;848.280029;537200000.0;848.280029;;;;;;;114580.0;114580.0;111500.0;113450.0;0.0;11345.0;14389.700195;14757.799805;14336.400391;14757.799805;0.0;14757.799805;0.00497584579117;;0.00389346075569;0.023667175704
1997-06-02;1997-06-02;848.280029;851.340027;844.609985;846.359985;435950000.0;846.359985;;;;;;;113980.0;113980.0;113260.0;113610.0;0.0;11361.0;14737.099609;14998.099609;14737.099609;14991.0;0.0;14991.0;-0.00226345538544;;0.00141031291318;0.0158018267005
1997-06-03;1997-06-03;846.359985;850.559998;841.51001;845.47998;527120000.0;845.47998;;;;;;;114140.0;114140.0;110580.0;111100.0;0.0;11110.0;14935.599609;15021.0;14607.200195;14760.200195;0.0;14760.200195;-0.00103975260598;;-0.0220931256051;-0.0153958912014
1997-06-04;1997-06-04;845.47998;845.549988;838.820007;840.109985;466690000.0;840.109985;;;;;;;111810.0;111810.0;110100.0;110300.0;0.0;11030.0;14764.700195;14979.799805;14755.299805;14831.599609;0.0;14831.599609;-0.00635141591407;;-0.00720072007201;0.0048372930622
1997-06-05;1997-06-05;840.109985;848.890015;840.109985;843.429993;452610000.0;843.429993;;;;;;;111410.0;111410.0;109880.0;111060.0;0.0;11106.0;14799.599609;14914.299805;14709.0;14795.5;0.0;14795.5;0.00395187303958;;0.00689029918404;-0.00243396598827
1997-06-06;1997-06-06;843.429993;859.23999;843.359985;858.01001;488940000.0;858.01001;;;;;;;113380.0;113380.0;111060.0;113340.0;0.0;11334.0;14833.400391;14975.0;14609.200195;14655.099609;0.0;14655.099609;0.0172865763857;;0.020529443544;-0.0094893981954
1997-06-09;1997-06-09;858.01001;865.140015;858.01001;862.909973;465810000.0;862.909973;;;;;;;115100.0;115100.0;113330.0;113960.0;0.0;11396.0;;;;;;;0.00571084596088;;0.00547026645491;
1997-06-10;1997-06-10;862.909973;870.049988;862.179993;865.27002;526980000.0;865.27002;;;;;;;114920.0;114920.0;113190.0;114290.0;0.0;11429.0;14808.400391;14856.799805;14391.900391;14439.700195;0.0;14439.700195;0.00273498635297;;0.00289575289575;-0.0146979153842
1997-06-11;1997-06-11;865.27002;870.659973;865.150024;869.570007;513740000.0;869.570007;;;;;;;114900.0;114900.0;113600.0;114900.0;0.0;11490.0;14422.400391;14575.200195;14214.0;14421.5;0.0;14421.5;0.00496953193871;;0.00533729985126;-0.00126042748494
1997-06-12;1997-06-12;869.570007;884.340027;869.01001;883.460022;592730000.0;883.460022;;;;;;;118760.0;118760.0;114910.0;118520.0;0.0;11852.0;14339.900391;14383.700195;13916.299805;13924.299805;0.0;13924.299805;0.0159734292676;;0.0315056570931;-0.0344763162639
1997-06-13;1997-06-13;883.47998;894.690002;883.47998;893.27002;575810000.0;893.27002;;;;;;;118520.0;119750.0;117520.0;118280.0;0.0;11828.0;14110.700195;14145.400391;13796.0;14112.599609;0.0;14112.599609;0.0111040655556;;-0.00202497468782;0.0135231075628
1997-06-16;1997-06-16;893.27002;895.169983;891.210022;893.900024;414280000.0;893.900024;;;;;;;119540.0;119540.0;117600.0;119540.0;0.0;11954.0;14163.200195;14426.599609;14163.200195;14394.599609;0.0;14394.599609;0.000705278343496;;0.0106526885357;0.01998214417
1997-06-17;1997-06-17;893.900024;897.599976;886.190002;894.419983;543010000.0;894.419983;;;;;;;122180.0;122180.0;119440.0;121190.0;0.0;12119.0;14372.900391;14434.799805;14284.299805;14307.200195;0.0;14307.200195;0.000581674668352;;0.0138029111594;-0.00607168079516
1997-06-18;1997-06-18;894.419983;894.419983;887.030029;889.059998;491740000.0;889.059998;;;;;;;122290.0;122290.0;120200.0;122060.0;0.0;12206.0;14210.299805;14260.400391;13999.700195;14203.900391;0.0;14203.900391;-0.00599269370304;;0.00717881013285;-0.00722012711027
1997-06-19;1997-06-19;889.059998;900.090027;888.98999;897.98999;536940000.0;897.98999;;;;;;;122060.0;124240.0;121810.0;122050.0;0.0;12205.0;14172.299805;14569.099609;14137.200195;14506.5;0.0;14506.5;0.0100443074934;;-8.19269211862e-05;0.02130397994
1997-06-20;1997-06-20;897.98999;901.77002;897.77002;898.700012;653110000.0;898.700012;;;;;;;122050.0;122180.0;120240.0;121210.0;0.0;12121.0;14624.900391;15154.400391;14624.900391;15154.400391;0.0;15154.400391;0.000790679192315;;-0.00688242523556;0.044662764347
1997-06-23;1997-06-23;898.700012;898.700012;878.429993;878.619995;492940000.0;878.619995;;;;;;;121210.0;123230.0;121090.0;122390.0;0.0;12239.0;15148.5;15322.299805;14993.700195;15021.200195;0.0;15021.200195;-0.0223434035072;;0.00973517036548;-0.00878953918092
1997-06-24;1997-06-24;878.619995;896.75;878.619995;896.340027;542650000.0;896.340027;;;;;;;126730.0;126730.0;122390.0;125870.0;0.0;12587.0;14825.799805;15028.700195;14797.099609;14891.0;0.0;14891.0;0.0201680272482;;0.0284336955634;-0.00866776244972
1997-06-25;1997-06-25;896.340027;902.090027;882.23999;888.98999;603040000.0;888.98999;;;;;;;130560.0;130560.0;125870.0;130530.0;0.0;13053.0;15034.299805;15201.0;15034.299805;15065.0;0.0;15065.0;-0.00820005441975;;0.0370223246206;0.0116849103485
1997-06-26;1997-06-26;888.98999;893.210022;879.320007;883.679993;499780000.0;883.679993;;;;;;;132230.0;132230.0;128310.0;128740.0;0.0;12874.0;15014.5;15275.400391;14942.099609;15127.0;0.0;15127.0;-0.0059730672558;;-0.0137133226078;0.00411549950216
1997-06-27;1997-06-27;883.679993;894.700012;883.679993;887.299988;472540000.0;887.299988;;;;;;;129200.0;129200.0;126620.0;127580.0;0.0;12758.0;15181.599609;15275.5;15095.299805;15196.799805;0.0;15196.799805;0.00409649989665;;-0.00901040857542;0.00461425299134
1997-06-30;1997-06-30;887.299988;892.619995;879.820007;885.140015;561540000.0;885.140015;;;;;;;127730.0;127730.0;125010.0;125680.0;0.0;12568.0;;;;;;;-0.00243432100666;;-0.0148926163976;
1997-07-01;1997-07-01;885.140015;893.880005;884.539978;891.030029;544190000.0;891.030029;;;;;;;130130.0;130130.0;125560.0;130020.0;0.0;13002.0;;;;;;;0.00665433027565;;0.0345321451305;
1997-07-02;1997-07-02;891.030029;904.049988;891.030029;904.030029;526970000.0;904.030029;;;;;;;132710.0;132710.0;129920.0;132600.0;0.0;13260.0;;;;;;;0.0145898562079;;0.0198431010614;
